book_name,lemmatized
Descartes’ Error,88 will help you understand why the argument that the mind and body are disconnected is false by using neuroscience and interesting case study to identify how the body and our emotion play a vital role in logical thinking science
Personality Isn’t Permanent,89 will shatter your longheld belief that youre stuck a yourself flaw and all by identifying why the person you are is changeable and giving you specific and actionable step to change science
Deep Nutrition,90 will help you get healthier by explaining the danger of modern dieting technique that are actually doing harm to your body and making you sick science
My Age Of Anxiety,91 is your guide to understanding an aspect of mental illness that most of u dont realize is so severe showing it biological and environmental origin and way to treat it science
The Body,92 help you become smarter about how to take care of and use this mechanism that let you have life by explaining how it put together what happens on the inside and how it work science
Boost!,93 is a guide for becoming more productive at work by using the preparation and performance technique that worldclass athlete use to win gold medal science
AI Superpowers,94 will help you understand what to expect of the effect that artificial intelligence will have on your future job opportunity by diving into where china and the u the world two leader in ai are heading with this breakthrough technology science
Doubt: A History,95 is a fascinating look at the historical influence of doubt on science religion and the way we think today science
What to Eat When,96 teach u how food work inside our body and how to feed ourselves in a way that better suit our biology making u healthier and stronger science
Comfortably Unaware,97 is a wellresearched compendium on how our food choice and animal agriculture impact the wellbeing of the whole planet science
Pandemic,98 give you an understanding of what pathogen and disease are how they evolve what our lifestyle doe to make them worse on u how they can spread like wildfire and most importantly what we can do to stop them science
Social,99 explains how our innate drive to build social connection is the primary driver behind our behavior and explores way we can use this knowledge to our advantage science
A Brief History Of Everyone Who Ever Lived,100 give you another important perspective on mankind past and present through the lens of our gene science
Cosmos,101 will make you smarter by teaching you the basic of how the universe work including our own solar system and it history science
The Worry-Free Mind,102 help free you of the shackle of all type of anxiety by identifying where they come from and what step you need to take to regain control of your thinking pattern and become mentally healthy again science
Brief Answers To The Big Questions,103 tackle some of the universe biggest mystery a hawking explores the law that govern the cosmos and the future of humankind science
Chernobyl,104 teach some fascinating and important history science and leadership lesson by diving into the detail of the event leading up to the worst nuclear disaster in human history and it aftermath science
Seven Brief Lessons On Physics,105 is your guide to getting up to speed with current theory on how the universe work by explaining general relativity and quantum mechanic the two pillar of modern physic science
Brain Rules,106 teach you how to become more productive at work and life by giving proven fact about how your mind work better with good sleep exercise and learning with all the sens science
Broadcasting Happiness,107 is an encouraging resource that will help you boost your health and happiness in your relationship work and community by showing you how to unlock the power of positive word and story science
The Joy Of Movement,108 is just what you need to finally find the motivation to get out and exercise more often by teaching you the scientific reason why it good for you and why your body is designed to enjoy it science
The Immortal Life of Henrietta Lacks,109 make you smarter and more compassionate by revealing the previously unknown story of a woman with extraordinary cell that still live today and have contributed to dozen of medical breakthrough science
The Body Keeps The Score,110 teach you how to get through the difficulty that arise from your traumatic past by revealing the psychology behind them and revealing some of the technique therapist use to help victim recover science
How To Change Your Mind,111 reveals new evidence on psychedelics confirming their power to cure mental illness ease depression and addiction and help people die more peacefully science
Maybe You Should Talk To Someone,112 will help you feel more comfortable with using therapy to improve your mental health by giving a candid look into how therapy really work from the point of view of an experienced therapist who also found herself needing it science
A General Theory Of Love,113 will help you reprogram your mind for better emotional intelligence and relationship by teaching you what three psychiatrist have to say about the science of why we experience love and other emotion science
The Little Book of Lykke,114 give danishderived and sciencebacked tip that will help you be happier science
Why We Sleep,115 will motivate you get more and better quality sleep by showing you the recent scientific finding on why sleep deprivation is bad for individual and society science
A Universe From Nothing,116 will enlarge your knowledge of our expanding universe by showing you how it began what were learning about it now and what will happen to it in the future science
A Crack In Creation,117 will teach you all about the power of gene editing that is made possible with crispr by detailing how it work the benefit and opportunity it open up and the ethical risk of using it on human science
How To,118 will help you get better at abstract thinking a it give solution to some of the strangest problem in the wackiest but still scientific way science
A Mind For Numbers,119 will teach you how to learn math and science more efficiently and get good at them by understanding how your brain absorbs and process information even if these subject dont come naturally to you science
A Beautiful Mind,120 tell the fascinating story of the mathematical genius mental illness and miraculous recovery and success of john nash jr science
Feral,121 will help you find way to improve the wellbeing of humanity by illustrating the deep connection between u and nature and offering actionable advice on how to preserve balance in our ecosystem through rewilding science
Sleep Smarter,122 is a collection of 21 simple tip and trick to optimize your sleep environment once and then reap the benefit of more restful night forever science
What If,123 is a compilation of wellresearched sciencebased answer to some of the craziest hypothetical question you can imagine science
Exploring The World Of Lucid Dreaming,124 is a practical guide to dreaming consciously which uncovers an invaluable channel of communication between your conscious and unconscious mind science
The Sports Gene,125 is a look at how gene affect our ability motivation and endurance in sport explaining why some people are better suited for certain sport than others science
The Brain That Changes Itself,126 explores the groundbreaking research in neuroplasticity and share fascinating story of people who can use the brain ability to adapt and be cured of ailment previously incurable science
Psycho-Cybernetics,127 explains how thinking of the human mind a a machine can help improve your selfimage which will dramatically increase your success and happiness science
Altered Traits,128 explores the science behind meditation technique and the way they benefit and alter our mind and body science
Merchants of Doubt,129 explains how a small but loud group of researcher were able to mislead the public about the truth around global warming tobacco ddt and other important issue for decade science
How Not To Die,130 delivers a template for extending your life based on scientific research which recommends switching to a mainly plantbased diet science
Behave,131 set out to explain the reason behind human behavior good or bad by exploring the influence of brain chemistry and our environment science
Brainstorm,132 is a fascinating look into the teenage brain that explains why adolescent act so hormonally and recklessly science
On The Origin Of Species,133 is the foundational book for modern evolutionary biology that marked a turning point in how we think about the beginning of humankind science
How Emotions Are Made,134 explores the often misconstrued world of human feeling and the cuttingedge science behind how theyre formed science
Against Empathy,135 explains the problem with society obsession with empathy and explores it limitation while giving u useful alternative for situation in which it doesnt work science
The Biology of Belief,136 is an overview of the recent finding in cellular biology which are redefining the way we look at evolution genetics and the nature of life science
The Hidden Life of Trees,137 describes how tree can communicate support each other learn from experience and form alliance with other inhabitant of the forest science
Silent Spring,138 is the story that sparked the global grassroots environmental movement in 1962 explaining how chemical pesticide work what their drawback are and how we can protect crop in better more sustainable way science
Aware,139 is a comprehensive overview of the farreaching benefit of meditation rooted in both science and practice enriched with actionable advice on how to practice mindfulness science
Lost Connections,140 explains why depression affect so many people and that improving our relationship not taking medication is the way to beat our mental health problem science
The Age of Empathy,141 explains that empathy come natural to human a it doe to most other animal and that were not wired to be selfish and violent but kind and cooperative science
Counterclockwise,142 is a critical look at current perspective on health with a particular focus on how we can improve our own when we shift from being mindless to mindful science
The Yes Brain,143 offer parenting technique that will give your kid an open attitude towards life balance resilience insight and empathy science
Born To Run,144 explains the natural benefit of longdistance running and how you can become a better runner too based on several year of research experience and training science
The Tao of Physics,145 question many bias about western science and eastern spirituality showing the close connection between the principle of physic and those of buddhism hinduism and taoism science
Rest,146 examines why traditional method of working too long and hard are inefficient compared to working less resting and playing to accomplish your best work science
The Blue Zones Solution,147 show you how to adopt the lifestyle and mindset practice of the healthiest longestliving people on the planet from the five location with the highest population of centenarian science
"Write It Down, Make It Happen",148 is a simple guide to help you accomplish your goal through the act of writing showing you how to use this basic skill to focus address fear and stay motivated science
Atomic Habits,149 is the definitive guide to breaking bad behavior and adopting good one in four step showing you how small incremental everyday routine compound into massive positive change over time science
Homo Deus,150 illustrates the history of the human race from how we came to be the dominant specie over what narrative are shaping our life today all the way to which obstacle we must overcome next to continue to thrive science
The Chimp Paradox,151 us a simple analogy to help you take control of your emotion and act in your own best interest whether it in making decision communicating with others or your health and happiness science
Factfulness,152 explains how our worldview ha been distorted with the rise of new medium which ten human instinct cause erroneous thinking and how we can learn to separate fact from fiction when forming our opinion science
Problem Solving 101,153 is a universal fourstep template for overcoming challenge in life based on a traditional method japanese school child learn early on science
Skin In The Game,154 is an assessment of asymmetry in human interaction aimed at helping you understand where and how gap in uncertainty risk knowledge and fairness emerge and how to close them science
When: The Scientific Secrets of Perfect Timing,155 break down the science of time so you can stop guessing when to do thing and pick the best time to work eat sleep have your coffee and even quit your job science
Leonardo Da Vinci,156 is walter isaacsons account of the life of one of the most brilliant artist thinker and innovator who ever lived science
Barking Up The Wrong Tree,157 turn standard success advice on it head by looking at both side of many common argument like confidence extroversion or being nice concluding it really other factor that decide if we win and we control more of them than we think science
Emotional Agility,158 provides a new sciencebacked approach to navigating life many trial and detour on your path to fulfillment with which youll face your emotion head on observe them objectively make choice based on your value and slowly tweak your mindset motivation and habit science
The Road Less Traveled,159 is a spiritual classic combining scientific and religious view to help you grow by confronting and solving your problem through discipline love and grace science
The Myth Of Multitasking,160 explains why doing everything at once is neither efficient nor even possible and give you practical step for more focus in the workplace science
Long-Term Thinking For A Short-Sighted World,161 explains why we rarely think about the longterm consequence of our action how this put our entire specie in danger and what we can do to change and ensure a thriving future for mankind science
Genius: The Life And Science Of Richard Feynman,162 tell the story of one the greatest mind in the history of science all the way from his humble beginning to changing physic a we know it and receiving the nobel prize science
Payoff,163 unravels the complex construct that is human motivation and show you how it consists of many more part than money and recognition such a meaning effort and ownership so you can motivate yourself not just today but every day science
Peak,164 accumulates everything the pioneer researcher on deliberate practice ha learned about expert performance through decade of exploration and analysis of what separate those who are average from those who are worldclass at what they do science
The Habit Blueprint,165 strip down behavior change to it very core giving you the ultimate researchbacked recipe for cultivating the habit you desire with plenty of backup step you can take to maximize your chance of success science
Decisive,166 give you a scientific 4step approach to making better decision in your life and career based on an extensive study of the available literature and research on the topic science
A Short History Of Nearly Everything,167 explains everything weve learned about our world and the universe so far including how they formed how we learned to make sense of time space and gravity why it such a miracle that were alive and how much of our planet is still a complete mystery to u science
The Art Of Choosing,168 extensively cover the scientific research made about human decision making showing you what affect how you make choice how the consequence of those choice affect you a well a how you can adapt to these circumstance to make better decision in the future science
Forensics: The Anatomy Of Crime,169 give you an inside look at all the different field of criminal forensics and their history showing you how the investigation and evidencecollection of crime ha changed dramatically within the last 200 year helping u find the truth behind more and more crime science
The Magic Of Reality,170 explains many of the world natural phenomenon in a scientific way so that you can understand how the elementary component of our planet work together to logically yet beautifully create the place we all call home science
The End Of Average,171 explains the fundamental flaw with our culture of average in which we design everything for the average person when that person doesnt exist and show how we can embrace our individuality and use it to succeed in a world that want everyone to be the same science
How Not To Be Wrong,172 show you that math is really just the science of common sense and that studying a few key mathematical idea can help you assess risk better make the right decision navigate the world effortlessly and be wrong a lot less science
Grit,173 describes what creates outstanding achievement based on science interview with high achiever from various field and the personal history of success of the author angela duckworth uncovering that achievement isnt reserved for the talented only but for those with passion and perseverance science
Made To Stick,174 examines advertising campaign urban myth and compelling story to determine the six trait that make idea stick in our brain so you dont just know why you remember some thing better than others but can also spread your own idea more easily among the right people science
The Botany Of Desire,175 describes how contrary to popular belief we might not be using plant a much a plant use u by getting human to ensure their survival thanks to appealing to our desire for beauty sweetness intoxication and control science
The Magic of Math,176 show you not only the power but also the beauty of mathematics unlike youve ever seen it in school and with practical realworld application science
The Genius Of Birds,177 shine a new light on a genuinely underrated kind of vertebrate by explaining bird capacity to be social intelligently solve challenge learn language be artistic and navigate the planet science
The Evolution Of Everything,178 compare creationist to evolutionist thinking showing how the process of evolution we know from biology underlies and permeates the entire world including society morality religion culture economics money innovation and even the internet science
The Singularity Is Near,179 outline the future of technology by describing how change keep accelerating what computer will look like and be made of why biology and technology will become indistinguishable and how we cant possibly predict whatll happen after 2045 science
The Selfish Gene,180 explains the process of evolution in biology using gene a it basic unit showing how they manifest in the form of organism what they do to ensure their own survival how they program our brain which strategy have worked best throughout history and what make human so special in this context science
Elon Musk,181 is the first official biography of the creator of solarcity spacex and tesla based on over 30 hour of conversation time between author ashlee vance science
Einstein: His Life And Universe,182 take a close look at the life of albert einstein beginning in how his childhood shaped him what his biggest discovery and personal struggle were and how his focus changed in later year without his genius ever fading until his very last moment science
Smarter,183 is one slow learner turned a student experimental account of improving his intelligence by 16 through various test lesson and exercise and explains how you can increase your intelligence in scientifically proven way science
Hackers and Painters,184 is a collection of essay by y combinator founder paul graham about what make a good computer programmer and how you can code the future if you are one making a fortune in the process science
Everything Is Obvious,185 show you that common sense isnt a reliable a you think it is because it often fails u in helping to make prediction and how you can change the way you or your company make decision with more scientific statistically grounded method science
Oxygen,186 help you understand the biology of our evolution by taking a close look at the molecule that can make and break all life and how it shaped the rise of animal plant and human a well a why it might be the key to ending aging science
Predictably Irrational,187 explains the hidden force that really drive how we make decision which are far less rational than we think but can help u stay on top of our finance interact better with others and live happier life once we know about them science
The Talent Code,188 crack open the myth of talent and break it down from a neurological standpoint into three crucial part which anyone can pull together to become a worldclass performer artist or athlete and form something they used to believe wa not even within their own hand science
Abundance,189 show you the key technological trend being developed today to give you a glimpse of a future thats a lot brighter than you think and help you embrace the optimism we need to make it happen science
Why We Love,190 delivers a scientific explanation for love show you how it developed historically and evolutionarily tell you what were all attracted to and where we differ and of course give you actionable advice to deal with both the exciting successful romance in your life a well a it sometimes inevitable fallout science
Freakonomics,191 help you make better decision by showing you how your life is dominated by incentive how to close information asymmetry between you and the expert that exploit you and how to really tell the difference between causation and correlation science
The Blue Zones,192 give you advice on how to live to be 100 year and older by looking at five spot across the planet where people live the longest and drawing lesson about what they eat drink how they exercise and which habit most shape their life science
The China Study,193 examines the effect of animal protein intake on cancer risk and suggests improving your health by focusing on a plantbased diet science
Drive,194 explores what ha motivated human throughout history and explains how we shifted from mere survival to the carrot and stick approach thats still practiced today and why it outdated science
The Happiness Project,195 will show you how to change your life without actually changing your life thanks to the finding of modern science ancient history and popular culture about happiness which the author tested for a year and now share with you science
Immunity,196 is an introductory guide to how your immune system work why it a doubleedged sword and which law govern it existence science
Outliers,197 explains why the selfmade man is a myth and what truly lie behind the success of the best people in their field which is often a series of lucky event rare opportunity and other external factor which are out of our control science
Your Brain At Work,198 help you overcome the daily challenge that take away your brain power like constant email and interruption madness high level of stress lack of control and high expectation by showing you what go on inside your head and giving you new approach to control it better science
Willpower,199 is a blend of practical tip and the latest scientific research on selfcontrol explaining how willpower work what you can do to improve it how to optimize it and which step to take when it fails you science
Talent Is Overrated,200 debunks both talent and experience a the determining factor and instead make a case for deliberate practice intrinsic motivation and starting early science
The Power Of Habit,201 help you understand why habit are at the core of everything you do how you can change them and what impact that will have on your life your business and society science
